video_id,youtube_url,thumbnail_maxres,thumbnail_hq
WCgXhyKGqSE,https://www.youtube.com/watch?v=WCgXhyKGqSE,https://img.youtube.com/vi/WCgXhyKGqSE/maxresdefault.jpg,https://img.youtube.com/vi/WCgXhyKGqSE/hqdefault.jpg
fclv2eb9jpg,https://www.youtube.com/watch?v=fclv2eb9jpg,https://img.youtube.com/vi/fclv2eb9jpg/maxresdefault.jpg,https://img.youtube.com/vi/fclv2eb9jpg/hqdefault.jpg
aV4QKud1sxU,https://www.youtube.com/watch?v=aV4QKud1sxU,https://img.youtube.com/vi/aV4QKud1sxU/maxresdefault.jpg,https://img.youtube.com/vi/aV4QKud1sxU/hqdefault.jpg
r6bguPj46sM,https://www.youtube.com/watch?v=r6bguPj46sM,https://img.youtube.com/vi/r6bguPj46sM/maxresdefault.jpg,https://img.youtube.com/vi/r6bguPj46sM/hqdefault.jpg
0bva_8J-ghs,https://www.youtube.com/watch?v=0bva_8J-ghs,https://img.youtube.com/vi/0bva_8J-ghs/maxresdefault.jpg,https://img.youtube.com/vi/0bva_8J-ghs/hqdefault.jpg
ewUpmzY29C8,https://www.youtube.com/watch?v=ewUpmzY29C8,https://img.youtube.com/vi/ewUpmzY29C8/maxresdefault.jpg,https://img.youtube.com/vi/ewUpmzY29C8/hqdefault.jpg
jS6vooX0l-E,https://www.youtube.com/watch?v=jS6vooX0l-E,https://img.youtube.com/vi/jS6vooX0l-E/maxresdefault.jpg,https://img.youtube.com/vi/jS6vooX0l-E/hqdefault.jpg
rpTn3uiYIHY,https://www.youtube.com/watch?v=rpTn3uiYIHY,https://img.youtube.com/vi/rpTn3uiYIHY/maxresdefault.jpg,https://img.youtube.com/vi/rpTn3uiYIHY/hqdefault.jpg
OHyY0vv6r8U,https://www.youtube.com/watch?v=OHyY0vv6r8U,https://img.youtube.com/vi/OHyY0vv6r8U/maxresdefault.jpg,https://img.youtube.com/vi/OHyY0vv6r8U/hqdefault.jpg
d9IPx7ujitg,https://www.youtube.com/watch?v=d9IPx7ujitg,https://img.youtube.com/vi/d9IPx7ujitg/maxresdefault.jpg,https://img.youtube.com/vi/d9IPx7ujitg/hqdefault.jpg
5n3VEz_8-b8,https://www.youtube.com/watch?v=5n3VEz_8-b8,https://img.youtube.com/vi/5n3VEz_8-b8/maxresdefault.jpg,https://img.youtube.com/vi/5n3VEz_8-b8/hqdefault.jpg
XBnOhNCcCJw,https://www.youtube.com/watch?v=XBnOhNCcCJw,https://img.youtube.com/vi/XBnOhNCcCJw/maxresdefault.jpg,https://img.youtube.com/vi/XBnOhNCcCJw/hqdefault.jpg
mW9bneDOekA,https://www.youtube.com/watch?v=mW9bneDOekA,https://img.youtube.com/vi/mW9bneDOekA/maxresdefault.jpg,https://img.youtube.com/vi/mW9bneDOekA/hqdefault.jpg
pESm09RjhOg,https://www.youtube.com/watch?v=pESm09RjhOg,https://img.youtube.com/vi/pESm09RjhOg/maxresdefault.jpg,https://img.youtube.com/vi/pESm09RjhOg/hqdefault.jpg
DwN6WJK4yvk,https://www.youtube.com/watch?v=DwN6WJK4yvk,https://img.youtube.com/vi/DwN6WJK4yvk/maxresdefault.jpg,https://img.youtube.com/vi/DwN6WJK4yvk/hqdefault.jpg
NLITPI7x_6s,https://www.youtube.com/watch?v=NLITPI7x_6s,https://img.youtube.com/vi/NLITPI7x_6s/maxresdefault.jpg,https://img.youtube.com/vi/NLITPI7x_6s/hqdefault.jpg
JN2Zm_pe19k,https://www.youtube.com/watch?v=JN2Zm_pe19k,https://img.youtube.com/vi/JN2Zm_pe19k/maxresdefault.jpg,https://img.youtube.com/vi/JN2Zm_pe19k/hqdefault.jpg
SvON0iuA_L8,https://www.youtube.com/watch?v=SvON0iuA_L8,https://img.youtube.com/vi/SvON0iuA_L8/maxresdefault.jpg,https://img.youtube.com/vi/SvON0iuA_L8/hqdefault.jpg
ozaklnMQyGA,https://www.youtube.com/watch?v=ozaklnMQyGA,https://img.youtube.com/vi/ozaklnMQyGA/maxresdefault.jpg,https://img.youtube.com/vi/ozaklnMQyGA/hqdefault.jpg
KM6Z2JHZu0M,https://www.youtube.com/watch?v=KM6Z2JHZu0M,https://img.youtube.com/vi/KM6Z2JHZu0M/maxresdefault.jpg,https://img.youtube.com/vi/KM6Z2JHZu0M/hqdefault.jpg
Fg0ZClITg_8,https://www.youtube.com/watch?v=Fg0ZClITg_8,https://img.youtube.com/vi/Fg0ZClITg_8/maxresdefault.jpg,https://img.youtube.com/vi/Fg0ZClITg_8/hqdefault.jpg
yX-PBBMjM_4,https://www.youtube.com/watch?v=yX-PBBMjM_4,https://img.youtube.com/vi/yX-PBBMjM_4/maxresdefault.jpg,https://img.youtube.com/vi/yX-PBBMjM_4/hqdefault.jpg
PMST_gl4C4A,https://www.youtube.com/watch?v=PMST_gl4C4A,https://img.youtube.com/vi/PMST_gl4C4A/maxresdefault.jpg,https://img.youtube.com/vi/PMST_gl4C4A/hqdefault.jpg
KALrVf0cvBI,https://www.youtube.com/watch?v=KALrVf0cvBI,https://img.youtube.com/vi/KALrVf0cvBI/maxresdefault.jpg,https://img.youtube.com/vi/KALrVf0cvBI/hqdefault.jpg
34qkSIcfvrs,https://www.youtube.com/watch?v=34qkSIcfvrs,https://img.youtube.com/vi/34qkSIcfvrs/maxresdefault.jpg,https://img.youtube.com/vi/34qkSIcfvrs/hqdefault.jpg
du5FK7NJkcE,https://www.youtube.com/watch?v=du5FK7NJkcE,https://img.youtube.com/vi/du5FK7NJkcE/maxresdefault.jpg,https://img.youtube.com/vi/du5FK7NJkcE/hqdefault.jpg
QutbbUNK71Y,https://www.youtube.com/watch?v=QutbbUNK71Y,https://img.youtube.com/vi/QutbbUNK71Y/maxresdefault.jpg,https://img.youtube.com/vi/QutbbUNK71Y/hqdefault.jpg
vVpKCQZKNtM,https://www.youtube.com/watch?v=vVpKCQZKNtM,https://img.youtube.com/vi/vVpKCQZKNtM/maxresdefault.jpg,https://img.youtube.com/vi/vVpKCQZKNtM/hqdefault.jpg
NAIxkuSHCho,https://www.youtube.com/watch?v=NAIxkuSHCho,https://img.youtube.com/vi/NAIxkuSHCho/maxresdefault.jpg,https://img.youtube.com/vi/NAIxkuSHCho/hqdefault.jpg
zND-1GqAWYk,https://www.youtube.com/watch?v=zND-1GqAWYk,https://img.youtube.com/vi/zND-1GqAWYk/maxresdefault.jpg,https://img.youtube.com/vi/zND-1GqAWYk/hqdefault.jpg
pdh8trqWd30,https://www.youtube.com/watch?v=pdh8trqWd30,https://img.youtube.com/vi/pdh8trqWd30/maxresdefault.jpg,https://img.youtube.com/vi/pdh8trqWd30/hqdefault.jpg
BjXiaAko4AQ,https://www.youtube.com/watch?v=BjXiaAko4AQ,https://img.youtube.com/vi/BjXiaAko4AQ/maxresdefault.jpg,https://img.youtube.com/vi/BjXiaAko4AQ/hqdefault.jpg
